trial_id,resilience_profile,chaos_scenario,trial_num,started_at_utc,ended_at_utc,status,error_message,gatling_request_count,gatling_ok_count,gatling_ko_count,gatling_error_rate,gatling_p50_ms,gatling_p95_ms,gatling_p99_ms,gatling_mean_response_ms,gatling_mean_requests_per_sec,prometheus_error_rate,peak_process_cpu_usage,peak_jvm_heap_used_bytes,cb_recovery_time_seconds,cb_was_open_during_trial,gatling_report_dir
retry__partial_failure__17,retry,partial_failure,17,2026-07-08T15:32:29.120767+00:00,2026-07-08T15:38:23.856874+00:00,ok,,1484.0,1484.0,0.0,0.0,11150.0,12791.0,15165.0,10830.0,4.3,,0.0345549738219895,214958080.0,0.0196802080026827,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708153237248
retry__partial_failure__18,retry,partial_failure,18,2026-07-08T15:38:33.867700+00:00,2026-07-08T15:44:32.451288+00:00,ok,,1475.0,1475.0,0.0,0.0,11189.0,12964.0,14823.0,10865.0,4.31,,0.0280031405391258,211812352.0,0.0106125409947708,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708153849318
retry__partial_failure__19,retry,partial_failure,19,2026-07-08T15:44:42.460003+00:00,2026-07-08T15:50:32.604595+00:00,ok,,1483.0,1483.0,0.0,0.0,11185.0,12930.0,14748.0,10835.0,4.32,,0.0515700791422006,214958080.0,0.0212592919997405,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708154447845
retry__partial_failure__20,retry,partial_failure,20,2026-07-08T15:50:42.614204+00:00,2026-07-08T15:56:44.279824+00:00,ok,,1450.0,1450.0,0.0,0.0,11381.0,13495.0,15432.0,11061.0,4.24,,0.0435110663983903,216006656.0,0.0158157080004457,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708155059607
retry__cascading_failure__01,retry,cascading_failure,1,2026-07-08T15:56:54.290545+00:00,2026-07-08T16:03:02.001807+00:00,ok,,789.0,789.0,0.0,0.0,21846.0,23376.0,24952.0,20687.0,2.24,,0.0216597077244258,214958080.0,0.0239571249985601,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708155708644
retry__cascading_failure__02,retry,cascading_failure,2,2026-07-08T16:03:12.009636+00:00,2026-07-08T16:09:23.486848+00:00,ok,,798.0,796.0,2.0,0.0025062656641604,21638.0,23037.0,24924.0,20480.0,2.27,,0.0206451612903225,214958080.0,0.0078671249793842,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708160330170
retry__cascading_failure__03,retry,cascading_failure,3,2026-07-08T16:09:33.495151+00:00,2026-07-08T16:15:46.286581+00:00,ok,,788.0,787.0,1.0,0.0012690355329949,21718.0,24400.0,26505.0,20770.0,2.22,,0.0617283950617283,216006656.0,0.0370448750036302,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708160949904
retry__cascading_failure__04,retry,cascading_failure,4,2026-07-08T16:15:56.301219+00:00,2026-07-08T16:22:15.413687+00:00,ok,,786.0,786.0,0.0,0.0,21884.0,23333.0,25249.0,20760.0,2.23,,0.0268987341772151,213909504.0,0.0308114580111578,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708161620669
retry__cascading_failure__05,retry,cascading_failure,5,2026-07-08T16:22:25.427410+00:00,2026-07-08T16:28:35.809000+00:00,ok,,796.0,796.0,0.0,0.0,21647.0,22735.0,23978.0,20479.0,2.26,,0.0201409869083585,214958080.0,0.0078128339955583,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708162243027
retry__cascading_failure__06,retry,cascading_failure,6,2026-07-08T16:28:45.816817+00:00,2026-07-08T16:34:56.239954+00:00,ok,,785.0,785.0,0.0,0.0,21830.0,23741.0,25416.0,20773.0,2.23,,0.0230120173868575,214958080.0,0.0163001249893568,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708162901428
