trial_id,resilience_profile,chaos_scenario,trial_num,started_at_utc,ended_at_utc,status,error_message,gatling_request_count,gatling_ok_count,gatling_ko_count,gatling_error_rate,gatling_p50_ms,gatling_p95_ms,gatling_p99_ms,gatling_mean_response_ms,gatling_mean_requests_per_sec,prometheus_error_rate,peak_process_cpu_usage,peak_jvm_heap_used_bytes,cb_recovery_time_seconds,cb_was_open_during_trial,gatling_report_dir
none__service_termination__11,none,service_termination,11,2026-07-01T23:03:37.964518+00:00,2026-07-01T23:09:37.955465+00:00,ok,,698,0,698,1.0,25023.0,25037.0,25055.0,23451.0,1.97,,0.008491508491508492,239075328.0,0.0063924589194357395,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701230342141
none__service_termination__12,none,service_termination,12,2026-07-01T23:09:47.960541+00:00,2026-07-01T23:15:48.181044+00:00,ok,,699,0,699,1.0,25024.0,25062.0,25178.0,23424.0,1.97,,0.05199795081967213,239075320.0,0.007078957976773381,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701230952300
none__service_termination__13,none,service_termination,13,2026-07-01T23:15:58.191501+00:00,2026-07-01T23:21:58.792353+00:00,ok,,701,0,701,1.0,25022.0,25044.0,25187.0,23359.0,1.97,,0.028793189784677015,239075328.0,0.017900916980579495,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701231602851
none__service_termination__14,none,service_termination,14,2026-07-01T23:22:08.799540+00:00,2026-07-01T23:28:08.827611+00:00,ok,,700,0,700,1.0,25022.0,25038.0,25424.0,23386.0,1.97,,0.018858436007040482,239075328.0,0.022945582983084023,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701232213018
none__service_termination__15,none,service_termination,15,2026-07-01T23:28:18.834785+00:00,2026-07-01T23:34:18.443652+00:00,ok,,698,0,698,1.0,25023.0,25035.0,25055.0,23451.0,1.97,,0.018341708542713567,235929600.0,0.005635165958665311,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701232822509
none__service_termination__16,none,service_termination,16,2026-07-01T23:34:28.450099+00:00,2026-07-01T23:40:28.252739+00:00,ok,,699,0,699,1.0,25021.0,25035.0,25055.0,23416.0,1.97,,0.008048289738430584,235929600.0,0.007312375004403293,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701233432423
none__service_termination__17,none,service_termination,17,2026-07-01T23:40:38.254951+00:00,2026-07-01T23:46:39.573384+00:00,ok,,698,0,698,1.0,25021.0,25050.0,25092.0,23451.0,1.97,,0.01582119537920643,239075328.0,0.0073133750120177865,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701234043795
none__service_termination__18,none,service_termination,18,2026-07-01T23:46:49.579893+00:00,2026-07-01T23:52:49.368542+00:00,ok,,698,0,698,1.0,25021.0,25037.0,25081.0,23450.0,1.97,,0.013643254168772108,239075328.0,0.007193375029601157,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701234653287
none__service_termination__19,none,service_termination,19,2026-07-01T23:52:59.374931+00:00,2026-07-01T23:58:59.188928+00:00,ok,,698,0,698,1.0,25020.0,25035.0,25134.0,23449.0,1.97,,0.04226778030878259,239075328.0,0.009323042002506554,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701235303414
none__service_termination__20,none,service_termination,20,2026-07-01T23:59:09.195842+00:00,2026-07-02T00:05:09.894638+00:00,ok,,698,0,698,1.0,25021.0,25040.0,25067.0,23449.0,1.97,,0.009559748427672956,236978168.0,0.005192416021600366,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260701235913916
